seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr2	91847899	91847953	55	*	X039	654342	91805188	91847975	42788	-	0	inside	21	LSP1P4
chr2	91847987	91848035	49	*	X040	654342	91805188	91847975	42788	-	11	upstream	11	LSP1P4
chr2	101924982	101925099	118	*	X041	100847007	101925912	101925996	85	+	812	upstream	812	MIR5696
chr2	101924982	101925099	118	*	X041	284996	101887684	101925178	37495	-	0	inside	78	RNF149
chr2	171627164	171627348	185	*	X044	100505695	171627604	171634757	7154	+	255	upstream	255	NA
chr2	171627520	171627541	22	*	X045	100505695	171627604	171634757	7154	+	62	upstream	62	NA
chr2	171627605	171627740	136	*	X046	100505695	171627604	171634757	7154	+	0	inside	0	NA
chr2	208394671	208394813	143	*	X047	1385	208394616	208470284	75669	+	0	inside	54	CREB1
chr3	44379685	44379755	71	*	X048	285343	44379611	44450940	71330	+	0	inside	73	TCAIM
chr3	44379775	44379797	23	*	X049	285343	44379611	44450940	71330	+	0	inside	163	TCAIM
chr3	44771019	44771231	213	*	X050	115560	44771098	44778575	7478	+	0	overlapStart	0	ZNF501
chr3	126194657	126194704	48	*	X052	79364	126156444	126194762	38319	-	0	inside	57	ZXDC
chr3	126194752	126194774	23	*	X053	79364	126156444	126194762	38319	-	0	overlapStart	0	ZXDC
chr3	126194857	126194925	69	*	X054	79364	126156444	126194762	38319	-	94	upstream	94	ZXDC
chr4	74124811	74124969	159	*	X074	26057	73940502	74124502	184001	-	308	upstream	308	ANKRD17
chr4	89445006	89445075	70	*	X076	100996939	89442129	89444952	2824	-	53	upstream	53	PYURF
chr5	141392474	141392757	284	*	X082	10007	141380234	141392620	12387	-	0	overlapStart	0	GNPDA1
chr5	178977815	178978061	247	*	X083	80230	178977562	179037027	59466	+	0	inside	252	RUFY1
chr5	180258515	180258525	11	*	X090	100859930	180256954	180258618	1665	-	0	inside	92	HEIH
chr6	28192877	28193252	376	*	X092	7746	28193029	28201264	8236	+	0	overlapStart	0	ZSCAN9
chr6	58287591	58287883	293	*	X093	375513	58246159	58287724	41566	-	0	overlapStart	0	GUSBP4
chr6	88032193	88032399	207	*	X094	57150	88032306	88085428	53123	+	0	overlapStart	0	SMIM8
chr7	56174134	56174149	16	*	X098	51142	56169266	56174187	4922	-	0	inside	37	CHCHD2
chr7	56174267	56174481	215	*	X099	51142	56169266	56174187	4922	-	79	upstream	79	CHCHD2
chr7	56183765	56183848	84	*	X100	389493	56182374	56184090	1717	-	0	inside	241	NUPR2
chr7	56183765	56183848	84	*	X100	5723	56078744	56184090	105347	-	0	inside	241	PSPH
chr7	56516104	56516160	57	*	X108	650226	56491397	56516068	24672	-	35	upstream	35	LOC650226
chr7	56516214	56516308	95	*	X109	650226	56491397	56516068	24672	-	145	upstream	145	LOC650226
chr7	65447037	65447248	212	*	X118	2990	65425673	65447301	21629	-	0	inside	52	GUSB
chr7	140714618	140714727	110	*	X119	51650	140705961	140714781	8821	-	0	inside	53	MRPS33
chr8	71581736	71581782	47	*	X141	389668	71581600	71648177	66578	+	0	inside	135	XKR9
chr8	71581736	71581782	47	*	X141	51110	71549501	71581447	31947	-	288	upstream	288	LACTB2
chr8	71581805	71581821	17	*	X142	389668	71581600	71648177	66578	+	0	inside	204	XKR9
chr8	71581805	71581821	17	*	X142	51110	71549501	71581447	31947	-	357	upstream	357	LACTB2
chr9	96793241	96793252	12	*	X151	138639	96793076	96872138	79063	+	0	inside	164	PTPDC1
chr9	113018629	113018856	228	*	X152	7295	113006092	113018920	12829	-	0	inside	63	TXN
chr10	38146516	38146845	330	*	X154	57209	38065454	38147012	81559	-	0	inside	166	ZNF248
chr10	38146857	38146872	16	*	X155	57209	38065454	38147012	81559	-	0	inside	139	ZNF248
chr10	38146884	38146898	15	*	X156	57209	38065454	38147012	81559	-	0	inside	113	ZNF248
chr10	38146996	38147042	47	*	X157	57209	38065454	38147012	81559	-	0	overlapStart	0	ZNF248
chr10	99894278	99894517	240	*	X184	27291	99894381	100004654	110274	+	0	overlapStart	0	R3HCC1L
chr10	118609192	118609223	32	*	X185	387712	118609023	118642112	33090	+	0	inside	168	ENO4
chr10	118609244	118609375	132	*	X186	387712	118609023	118642112	33090	+	0	inside	220	ENO4
chr11	61100435	61100578	144	*	X195	26007	61100654	61116231	15578	+	75	upstream	75	TKFC
chr11	85521956	85522298	343	*	X197	54843	85405265	85522178	116914	-	0	overlapStart	0	SYTL2
chr11	86511334	86511412	79	*	X198	11098	86511491	86663830	152340	+	78	upstream	78	PRSS23
chr11	86511431	86511675	245	*	X199	11098	86511491	86663830	152340	+	0	overlapStart	0	PRSS23
chr12	50898803	50898924	122	*	X207	57609	50898768	51142450	243683	+	0	inside	34	DIP2B
chr12	56862326	56862380	55	*	X208	283377	56862301	56864767	2467	+	0	inside	24	SPRYD4
chr12	56882370	56882458	89	*	X209	27165	56864736	56882181	17446	-	188	upstream	188	GLS2
chr12	131323923	131323943	21	*	X214	2054	131274145	131323819	49675	-	103	upstream	103	STX2
chr12	133066720	133066754	35	*	X215	57666	133067157	133161773	94617	+	402	upstream	402	FBRSL1
chr13	76123660	76123702	43	*	X217	7347	76123616	76180156	56541	+	0	inside	43	UCHL3
chr13	76123884	76123959	76	*	X218	7347	76123616	76180156	56541	+	0	inside	267	UCHL3
chr14	24563457	24563675	219	*	X221	5106	24563483	24573339	9857	+	0	overlapStart	0	PCK2
chr14	67708127	67708140	14	*	X223	64398	67708012	67802778	94767	+	0	inside	114	PALS1
chr14	69864892	69865094	203	*	X224	2079	69846840	69865021	18182	-	0	overlapStart	0	ERH
chr14	69864892	69865094	203	*	X224	55334	69865096	69929107	64012	+	1	upstream	1	SLC39A9
chr14	105635421	105635454	34	*	X230	3714	105607318	105635161	27844	-	259	upstream	259	JAG2
chr14	105647500	105647530	31	*	X231	256281	105639274	105647660	8387	-	0	inside	129	NUDT14
chr14	105647610	105647885	276	*	X232	256281	105639274	105647660	8387	-	0	overlapStart	0	NUDT14
chr14	105781725	105781746	22	*	X233	2972	105675623	105781914	106292	-	0	inside	167	BRF1
chr14	105781796	105781897	102	*	X234	2972	105675623	105781914	106292	-	0	inside	16	BRF1
chr14	105782024	105782055	32	*	X235	2972	105675623	105781914	106292	-	109	upstream	109	BRF1
chr14	105953544	105953557	14	*	X238	1396	105953257	105955124	1868	+	0	inside	286	CRIP1
chr15	23810602	23810981	380	*	X241	7681	23810454	23813166	2713	+	0	inside	147	MKRN3
chr15	25200157	25200232	76	*	X244	8926	25200070	25244225	44156	+	0	inside	86	SNURF
chr15	72766560	72766571	12	*	X245	25820	72766667	72878896	112230	+	95	upstream	95	ARIH1
chr15	72766660	72766781	122	*	X246	25820	72766667	72878896	112230	+	0	overlapStart	0	ARIH1
chr16	3355256	3355274	19	*	X252	7627	3355433	3368576	13144	+	158	upstream	158	ZNF75A
chr16	3355256	3355274	19	*	X252	91151	3348808	3355439	6632	-	0	inside	164	TIGD7
chr16	15982279	15982453	175	*	X254	123811	15959577	15982447	22871	-	0	overlapStart	0	CEP20
chr16	75682583	75682597	15	*	X273	3735	75661622	75682541	20920	-	41	upstream	41	KARS1
chr17	5095349	5095458	110	*	X276	100130950	5095379	5138931	43553	+	0	overlapStart	0	ZNF594-DT
chr17	5095349	5095458	110	*	X276	84622	5082831	5095178	12348	-	170	upstream	170	ZNF594
chr17	5185559	5185812	254	*	X277	9135	5185558	5289132	103575	+	0	inside	0	RABEP1
chr17	6915610	6915744	135	*	X278	100506713	6888442	6915653	27212	-	0	overlapStart	0	ALOX12-AS1
chr17	6915610	6915744	135	*	X278	100529209	6915736	6920843	5108	+	0	overlapStart	0	RNASEK-C17orf49
chr17	27046845	27046876	32	*	X284	100861437	27043011	27044908	1898	-	1936	upstream	1936	NA
chr17	27046845	27046876	32	*	X284	26808	27047568	27047634	67	+	691	upstream	691	SNORD42B
chr17	27046845	27046876	32	*	X284	6147	27047000	27051374	4375	+	123	upstream	123	RPL23A
chr17	27046845	27046876	32	*	X284	83871	27041299	27045286	3988	-	1558	upstream	1558	RAB34
chr17	27047003	27047294	292	*	X285	26808	27047568	27047634	67	+	273	upstream	273	SNORD42B
chr17	27047003	27047294	292	*	X285	6147	27047000	27051374	4375	+	0	inside	2	RPL23A
chr17	27047003	27047294	292	*	X285	83871	27041299	27045286	3988	-	1716	upstream	1716	RAB34
chr17	27055673	27055713	41	*	X286	116238	27051366	27053949	2584	-	1723	upstream	1723	TLCD1
chr17	27055673	27055713	41	*	X286	284086	27055832	27069784	13953	+	118	upstream	118	NEK8
chr17	27169608	27169629	22	*	X287	55731	27082996	27169841	86846	-	0	inside	211	FAM222B
chr17	27169655	27169726	72	*	X288	55731	27082996	27169841	86846	-	0	inside	114	FAM222B
chr17	27169782	27169845	64	*	X289	55731	27082996	27169841	86846	-	0	overlapStart	0	FAM222B
chr18	107753	107837	85	*	X293	727758	109065	122222	13158	+	1227	upstream	1227	ROCK1P1
chr18	107882	108552	671	*	X294	727758	109065	122222	13158	+	512	upstream	512	ROCK1P1
chr19	8943082	8943198	117	*	X301	148156	8920382	8942975	22594	-	106	upstream	106	ZNF558
chr19	9731983	9732350	368	*	X302	284385	9732158	9745538	13381	+	0	overlapStart	0	ZNF561-AS1
chr19	9731983	9732350	368	*	X302	93134	9718002	9731916	13915	-	66	upstream	66	ZNF561
chr19	14800808	14800833	26	*	X304	84449	14800613	14831772	31160	+	0	inside	194	ZNF333
chr19	15560750	15560767	18	*	X309	58525	15532318	15560762	28445	-	0	overlapStart	0	WIZ
chr19	15560807	15560827	21	*	X310	58525	15532318	15560762	28445	-	44	upstream	44	WIZ
chr19	15560839	15560857	19	*	X311	58525	15532318	15560762	28445	-	76	upstream	76	WIZ
chr19	15560878	15560988	111	*	X312	58525	15532318	15560762	28445	-	115	upstream	115	WIZ
chr19	36630918	36631059	142	*	X331	826	36630918	36641255	10338	+	0	inside	0	CAPNS1
chr19	36706031	36706160	130	*	X332	147929	36673187	36705986	32800	-	44	upstream	44	ZNF565
chr19	36980252	36980330	79	*	X333	728752	36980529	36981942	1414	+	198	upstream	198	ZNF566-AS1
chr19	36980252	36980330	79	*	X333	84924	36936021	36980463	44443	-	0	inside	132	ZNF566
chr19	36980179	36980229	51	*	X334	728752	36980529	36981942	1414	+	299	upstream	299	ZNF566-AS1
chr19	36980179	36980229	51	*	X334	84924	36936021	36980463	44443	-	0	inside	233	ZNF566
chr19	37157578	37157775	198	*	X336	92283	37128283	37157739	29457	-	0	overlapStart	0	ZNF461
chr19	41724614	41724752	139	*	X338	558	41725108	41767671	42564	+	355	upstream	355	AXL
chr19	41815972	41816029	58	*	X339	90324	41816094	41830788	14695	+	64	upstream	64	CCDC97
chr19	41816331	41816524	194	*	X340	90324	41816094	41830788	14695	+	0	inside	236	CCDC97
chr19	42724437	42724525	89	*	X342	116115	42724492	42732353	7862	+	0	overlapStart	0	ZNF526
chr19	42724437	42724525	89	*	X342	162989	42702745	42724304	21560	-	132	upstream	132	DEDD2
chr19	42759262	42759307	46	*	X343	2077	42751717	42759309	7593	-	0	inside	1	ERF
chr19	42759329	42759486	158	*	X344	2077	42751717	42759309	7593	-	19	upstream	19	ERF
chr19	42788047	42788140	94	*	X345	23152	42788817	42799949	11133	+	676	upstream	676	CIC
chr19	42788212	42788660	449	*	X346	23152	42788817	42799949	11133	+	156	upstream	156	CIC
chr19	42817421	42817774	354	*	X347	284339	42817477	42829214	11738	+	0	overlapStart	0	TMEM145
chr19	42829775	42829780	6	*	X350	1954	42829761	42882921	53161	+	0	inside	13	MEGF8
chr19	44455325	44455378	54	*	X355	7638	44455397	44471752	16356	+	18	upstream	18	ZNF221
chr19	44455417	44455512	96	*	X356	7638	44455397	44471752	16356	+	0	inside	19	ZNF221
chr19	50083703	50084131	429	*	X357	51070	50058725	50083829	25105	-	0	overlapStart	0	NOSIP
chr19	50083703	50084131	429	*	X357	5639	50084587	50094265	9679	+	455	upstream	455	PRRG2
chr19	50179525	50179697	173	*	X358	3276	50180409	50191707	11299	+	711	upstream	711	PRMT1
chr19	52097623	52097634	12	*	X359	729975	52095036	52097633	2598	-	0	overlapStart	0	LINC01530
chr19	54704596	54704922	327	*	X365	6203	54704726	54711515	6790	+	0	overlapStart	0	RPS9
chr19	55770308	55770425	118	*	X368	22870	55741147	55770038	28892	-	269	upstream	269	PPP6R1
chr19	55770524	55770788	265	*	X369	22870	55741147	55770038	28892	-	485	upstream	485	PPP6R1
chr19	55897265	55897420	156	*	X370	388564	55890612	55895627	5016	-	1637	upstream	1637	TMEM238
chr19	55897265	55897420	156	*	X370	6158	55897300	55903451	6152	+	0	overlapStart	0	RPL28
chr19	56632121	56632393	273	*	X379	126208	56598732	56632649	33918	-	0	inside	255	ZNF787
chr19	56632744	56632873	130	*	X380	126208	56598732	56632649	33918	-	94	upstream	94	ZNF787
chr19	56652647	56652659	13	*	X381	55311	56652535	56672262	19728	+	0	inside	111	ZNF444
chr19	56879602	56879647	46	*	X385	147947	56879468	56891196	11729	+	0	inside	133	ZNF542P
chr19	56879602	56879647	46	*	X385	79149	56732679	56879752	147074	-	0	inside	104	ZSCAN5A
chr19	56879725	56879796	72	*	X386	147947	56879468	56891196	11729	+	0	inside	256	ZNF542P
chr19	56879725	56879796	72	*	X386	79149	56732679	56879752	147074	-	0	overlapStart	0	ZSCAN5A
chr19	56879809	56879823	15	*	X387	79149	56732679	56879752	147074	-	56	upstream	56	ZSCAN5A
chr19	56988731	56988756	26	*	X388	100128252	56989243	57006805	17563	+	486	upstream	486	ZNF667-AS1
chr19	56988731	56988756	26	*	X388	63934	56950693	56988770	38078	-	0	inside	13	ZNF667
chr19	56989125	56989672	548	*	X389	100128252	56989243	57006805	17563	+	0	overlapStart	0	ZNF667-AS1
chr19	56989125	56989672	548	*	X389	63934	56950693	56988770	38078	-	354	upstream	354	ZNF667
chr19	57018788	57018819	32	*	X390	57573	57019212	57040269	21058	+	392	upstream	392	ZNF471
chr19	57018850	57019110	261	*	X391	57573	57019212	57040269	21058	+	101	upstream	101	ZNF471
chr19	57019124	57019156	33	*	X392	57573	57019212	57040269	21058	+	55	upstream	55	ZNF471
chr19	57019183	57019202	20	*	X393	57573	57019212	57040269	21058	+	9	upstream	9	ZNF471
chr19	57019225	57019245	21	*	X394	57573	57019212	57040269	21058	+	0	inside	12	ZNF471
chr19	57019288	57019334	47	*	X395	57573	57019212	57040269	21058	+	0	inside	75	ZNF471
chr19	57019404	57019414	11	*	X396	57573	57019212	57040269	21058	+	0	inside	191	ZNF471
chr19	57049620	57050109	490	*	X397	140612	57050317	57068170	17854	+	207	upstream	207	ZFP28
chr19	57050247	57050289	43	*	X398	140612	57050317	57068170	17854	+	27	upstream	27	ZFP28
chr19	57078816	57079161	346	*	X399	388566	57078890	57100278	21389	+	0	overlapStart	0	ZNF470
chr19	57079176	57079210	35	*	X400	388566	57078890	57100278	21389	+	0	inside	285	ZNF470
chr19	57874748	57874928	181	*	X401	10597	57874879	57876721	1843	+	0	overlapStart	0	TRAPPC2B
chr19	57874748	57874928	181	*	X401	284306	57874879	57890925	16047	+	0	overlapStart	0	ZNF547
chr20	16554156	16554240	85	*	X402	55614	16252749	16554079	301331	-	76	upstream	76	KIF16B
chr20	31350418	31350452	35	*	X411	1789	31350191	31397162	46972	+	0	inside	226	DNMT3B
chr20	43343708	43344050	343	*	X412	8839	43343885	43356452	12568	+	0	overlapStart	0	CCN5
chr20	55841959	55841974	16	*	X415	655	55743809	55841707	97899	-	251	upstream	251	BMP7
chr20	55842079	55842115	37	*	X416	655	55743809	55841707	97899	-	371	upstream	371	BMP7
chr20	55966364	55966404	41	*	X417	55544	55966454	55984386	17933	+	49	upstream	49	RBM38
chr20	55966514	55966569	56	*	X418	55544	55966454	55984386	17933	+	0	inside	59	RBM38
chr20	61847429	61847529	101	*	X420	54915	61826782	61847538	20757	-	0	inside	8	YTHDF1
chr21	9968342	9968887	546	*	X426	100132288	9907189	9968593	61405	-	0	overlapStart	0	TEKT4P2
chr21	33104217	33104416	200	*	X427	57466	33043313	33104431	61119	-	0	inside	14	SCAF4
chr22	45559911	45560022	112	*	X431	100506714	45529639	45559662	30024	-	248	upstream	248	NUP50-DT
chr22	45559911	45560022	112	*	X431	10762	45559726	45583890	24165	+	0	inside	184	NUP50
chrX	14048155	14048261	107	*	X433	54960	14024845	14048035	23191	-	119	upstream	119	GEMIN8
chrX	19003039	19003255	217	*	X435	5256	18910416	19002480	92065	-	558	upstream	558	PHKA2
chrX	19361686	19361783	98	*	X436	5160	19362011	19379825	17815	+	227	upstream	227	PDHA1
chrX	20159858	20159921	64	*	X438	1964	20142636	20159966	17331	-	0	inside	44	EIF1AX
chrX	20159956	20160058	103	*	X439	1964	20142636	20159966	17331	-	0	overlapStart	0	EIF1AX
chrX	21958915	21958922	8	*	X441	6611	21958691	22012955	54265	+	0	inside	223	SMS
chrX	46306550	46306567	18	*	X442	55634	46306624	46334074	27451	+	56	upstream	56	KRBOX4
chrX	46306725	46306766	42	*	X443	55634	46306624	46334074	27451	+	0	inside	100	KRBOX4
chrX	46618491	46618623	133	*	X444	84679	46458686	46618607	159922	-	0	overlapStart	0	SLC9A7
chrX	47863290	47863325	36	*	X445	389852	47863734	47991997	128264	+	408	upstream	408	SPACA5
chrX	47863290	47863325	36	*	X445	7569	47834250	47863394	29145	-	0	inside	68	ZNF182
chrX	48776209	48776232	24	*	X446	11040	48770459	48776413	5955	-	0	inside	180	PIM2
chrX	49056668	49056780	113	*	X448	6855	49044265	49056661	12397	-	6	upstream	6	SYP
chrX	53254306	53254699	394	*	X449	8242	53220503	53254604	34102	-	0	overlapStart	0	KDM5C
chrX	53254727	53254747	21	*	X450	8242	53220503	53254604	34102	-	122	upstream	122	KDM5C
chrX	54384243	54384374	132	*	X451	65267	54219256	54384438	165183	-	0	inside	63	WNK3
chrX	54384507	54384652	146	*	X452	65267	54219256	54384438	165183	-	68	upstream	68	WNK3
chrX	54556678	54556702	25	*	X453	54552	54556644	54593720	37077	+	0	inside	33	GNL3L
chrX	55026768	55026885	118	*	X454	27301	55026756	55034306	7551	+	0	inside	11	APEX2
chrX	55026768	55026885	118	*	X454	5207	54959567	55024967	65401	-	1800	upstream	1800	PFKFB1
chrX	55187783	55187834	52	*	X455	90736	55169535	55187628	18094	-	154	upstream	154	FAM104B
chrX	55744056	55744101	46	*	X457	10325	55744110	55785207	41098	+	8	upstream	8	RRAGB
chrX	57021875	57022127	253	*	X458	169981	57002803	57021988	19186	-	0	overlapStart	0	SPIN3
chrX	67653318	67653358	41	*	X459	4983	67262186	67653299	391114	-	18	upstream	18	OPHN1
chrX	67653737	67653756	20	*	X460	4983	67262186	67653299	391114	-	437	upstream	437	OPHN1
chrX	67653809	67653830	22	*	X461	4983	67262186	67653299	391114	-	509	upstream	509	OPHN1
chrX	69509707	69509899	193	*	X463	24137	69509879	69640774	130896	+	0	overlapStart	0	KIF4A
chrX	69509707	69509899	193	*	X463	51248	69506211	69509798	3588	-	0	overlapStart	0	PDZD11
chrX	73164244	73164281	38	*	X468	554203	73164159	73290217	126059	+	0	inside	84	JPX
chrX	103401396	103401440	45	*	X473	401612	103343898	103401708	57811	-	0	inside	267	SLC25A53
chrX	107019275	107019300	26	*	X477	1831	106956452	107019202	62751	-	72	upstream	72	TSC22D3
chrX	118370270	118370281	12	*	X481	10857	118370211	118378429	8219	+	0	inside	58	PGRMC1
chrX	118708330	118708392	63	*	X482	7319	118708499	118718379	9881	+	106	upstream	106	UBE2A
chrX	119077533	119077942	410	*	X483	79576	119059013	119077735	18723	-	0	overlapStart	0	NKAP
chrX	148713353	148713367	15	*	X492	84548	148678216	148713487	35272	-	0	inside	119	TMEM185A
chrX	148713439	148713634	196	*	X493	84548	148678216	148713487	35272	-	0	overlapStart	0	TMEM185A
chrX	151806127	151806147	21	*	X497	55879	151806637	151821825	15189	+	489	upstream	489	GABRQ
chrX	153059725	153059764	40	*	X503	3421	153051221	153059978	8758	-	0	inside	213	IDH3G
chrX	153059725	153059764	40	*	X503	6748	153059630	153063967	4338	+	0	inside	94	SSR4
chrX	153059926	153060115	190	*	X504	3421	153051221	153059978	8758	-	0	overlapStart	0	IDH3G
chrX	153059926	153060115	190	*	X504	6748	153059630	153063967	4338	+	0	inside	295	SSR4
chrX	153657126	153657133	8	*	X506	537	153656978	153664862	7885	+	0	inside	147	ATP6AP1
chrX	153665379	153665620	242	*	X507	2664	153665259	153671814	6556	+	0	inside	119	GDI1
chrX	153718910	153718933	24	*	X508	8273	153715650	153719002	3353	-	0	inside	68	SLC10A3
chrX	153718974	153718984	11	*	X509	8273	153715650	153719002	3353	-	0	inside	17	SLC10A3
